Disease,ChemicalName,ChemicalID,CasRN,tier,InferenceGeneSymbol,InferenceScore,gene_count,PubMedIDs
Asthma,"1,6-hexamethylene diisocyanate",C015262,822-06-0,curated,,,,10934080
Asthma,1-hydroxypyrene,C033146,5315-79-7,curated,,,,33972693
Asthma,1-methylphenanthrene,C041507,832-69-9,curated,,,,24407477
Asthma,"2,4-Dichlorophenoxyacetic Acid",D015084,94-75-7,curated,,,,17932376
Asthma,"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C539252,,curated,,,,19056934
Asthma,"4,4'-diphenylmethane diisocyanate",C005969,,curated,,,,10797510|10934080|11077012|15891530|6091945|8156442
Asthma,4-dichlorobenzene,C018511,106-46-7,curated,,,,33785322
Asthma,7-methylguanine,C008450,578-76-7,curated,,,,33972693
Asthma,8-epi-prostaglandin F2alpha,C075750,27415-26-5,curated,,,,22986054
Asthma,Acetaldehyde,D000079,75-07-0,curated,,,,9600491
Asthma,Acetaminophen,D000082,103-90-2,curated,,,,15942102
Asthma,Acetylcholine,D000109,51-84-3,curated,,,,34774659
Asthma,Acetylcysteine,D000111,616-91-1,curated,,,,41503729
Asthma,Adenosine,D000241,58-61-7,curated,,,,3609189
Asthma,Adrenal Cortex Hormones,D000305,,curated,,,,10069892|10359889|10461081|10934090|10967152|12070353|17872493|19681236|9878995
Asthma,Adrenergic beta-Agonists,D000318,,curated,,,,2563215|7915431
Asthma,Aerosols,D000336,,curated,,,,19654919
Asthma,Air Pollutants,D000393,,curated,,,,15226151|18629323|19620729|19781087|20123607|21513554|21995638|22370087|24117884|25012280|25491235|27043549|32816747|37162236
Asthma,"Air Pollutants, Occupational",D000395,,curated,,,,8687243
Asthma,Albuterol,D000420,18559-94-9,curated,,,,10023788|10480584|11142280|11729705|11991558|12027070|12355682|12734767|12972899|1572199|17380691|17700005|18023335|18225795|18717146|19329721|19363516|1978102|22607479|2693116|2782734|2849969|2936370|2974263|3109801|3223643|3537092|3898925|3968329|4067618|4430301|4921234|6435488|6811006|7117428|7437783|7893301|7982368|81404|8417883|8681661|8968295|9428298|9616533|9707465|9949315
Asthma,Aldicarb,D000448,116-06-3,curated,,,,23670403
Asthma,Allergens,D000485,,curated,,,,18391481|19337513|33474794
Asthma,Aluminum Hydroxide,D000536,21645-51-2,curated,,,,34774659|35481609
Asthma,ambroxol-theophylline-7-acetate,C077110,,curated,,,,17455344
Asthma,Amides,D000577,,curated,,,,9236499
Asthma,Aminophylline,D000628,317-34-0,curated,,,,1424400|15645133|1572199|17130682|2658694|3898925|4047061|4430301|6343341
Asthma,Anti-Asthmatic Agents,D018927,,curated,,,,16425660
