ChemicalID,ChemicalName,CasRN,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
C069471,aluminum oxide hydroxide,63957-70-0,32524,59.988,,37.3,1,2,0,3,10.3
D000538,Aluminum Silicates,,44144451,119.06,,92.2,0,4,0,6,19.1
D000583,Amikacin,37517-28-5,37768,585.6,-7.9,332.0,13,17,10,40,819.0
D000638,Amiodarone,1951-25-3,2157,645.3,7.6,42.7,0,4,11,31,547.0
D000666,Amphotericin B,1397-89-3,14956,924.1,0.0,320.0,12,18,3,65,1670.0
D000667,Ampicillin,69-53-4,6249,349.4,-1.1,138.0,3,6,4,24,562.0
C118790,angiotensin I (1-7),,123805,899.0,-3.0,380.0,12,14,25,64,1660.0
D017639,"Asbestos, Amosite",12172-73-5,131633415,1001.6,,395.0,2,24,12,39,618.0
D017638,"Asbestos, Crocidolite",12001-28-4,86278622,855.38,,460.0,16,24,0,39,26.3
D017632,"Asbestos, Serpentine",,6335834,283.16,,163.0,9,9,0,14,19.1
D017963,Azithromycin,83905-01-05,447043,749.0,4.0,180.0,5,14,7,52,1150.0
C011674,bacampicillin,,441397,465.5,2.7,163.0,2,9,10,32,756.0
D001761,Bleomycin,11056-06-07,5360373,1415.6,-7.5,685.0,20,31,36,96,2580.0
D002084,Butylated Hydroxytoluene,128-37-0,31404,220.35,5.3,20.2,1,1,2,16,207.0
D019256,Cadmium Chloride,10108-64-2,24947,183.32,,0.0,0,0,0,3,2.8
D002110,Caffeine,58-08-2,2519,194.19,-0.1,58.4,0,3,0,14,293.0
D002133,Calcium Sulfate,7778-18-9,24497,136.14,,88.6,0,4,0,6,62.2
D002211,Capsaicin,404-86-4,1548943,305.4,3.6,58.6,2,3,9,22,341.0
D002228,Carbenicillin,4697-36-3,20824,378.4,1.1,149.0,3,7,5,26,645.0
D016190,Carboplatin,41575-94-4,10339178,371.25,,82.3,2,6,0,13,153.0
D002330,Carmustine,154-93-8,2578,214.05,1.5,61.8,1,3,4,12,156.0
C057710,cefditoren pivoxil,,6437877,620.7,4.7,257.0,2,14,12,41,1160.0
D002439,Cefotaxime,63527-52-6,5742673,455.5,-1.4,227.0,3,12,8,30,833.0
D000097627,Cefpodoxime Proxetil,,6526396,557.6,0.6,235.0,2,14,13,37,976.0
D002442,Ceftazidime,78439-06-02,5481173,546.6,0.4,245.0,3,12,8,37,1020.0
D002443,Ceftriaxone,73384-59-5,5479530,554.6,-1.3,288.0,4,13,8,36,1110.0
D002444,Cefuroxime,55268-75-2,5479529,424.4,-0.2,199.0,3,10,8,29,798.0
D002512,Cephalothin,153-61-7,6024,396.4,-0.4,167.0,2,8,7,26,680.0
C030583,ceric oxide,1306-38-3,73963,172.115,,34.1,0,2,0,3,18.3
D002701,Chloramphenicol,56-75-7,5959,323.13,1.1,115.0,3,5,5,20,342.0
D002791,"Cholesterol, Dietary",,5997,386.7,8.7,20.2,1,1,5,28,591.0
C034587,CHOP protocol,,56842157,1988.0,,510.0,12,33,22,139,3700.0
D000077407,Cilostazol,73963-72-1,2754,369.5,3.1,81.9,1,5,7,27,485.0
D002939,Ciprofloxacin,85721-33-1,2764,331.34,-1.1,72.9,2,7,3,24,571.0
D002945,Cisplatin,15663-27-1,5460033,300.05,,2.0,2,2,0,5,7.6
D003035,Cobalt,7440-48-4,104730,58.93319,,0.0,0,0,0,1,0.0
C060728,cobalt oxide,11104-61-3,6432046,240.797,,4.0,0,4,0,7,0.0
D019327,Copper Sulfate,7758-98-7,24462,159.61,,88.6,0,4,0,6,62.2
D016578,Crack Cocaine,,446220,303.35,2.3,55.8,0,5,5,22,432.0
D016578,Crack Cocaine,,446220,303.35,2.3,55.8,0,5,5,22,432.0
D000077547,Crizotinib,,11626560,450.3,3.7,78.0,2,6,5,30,557.0
C030973,cupric oxide,1317-38-0,14829,79.55,,17.1,0,1,0,2,2.0
C012260,cyclocreatine,35404-50-3,2896,143.14,-1.6,78.9,2,3,2,10,178.0
D003520,Cyclophosphamide,50-18-0,2907,261.08,0.6,41.6,1,4,5,14,212.0
D003561,Cytarabine,147-94-4,6253,243.22,-2.1,129.0,4,5,2,17,383.0
D003620,Dantrolene,7261-97-4,6914273,314.25,1.7,121.0,1,6,3,23,524.0
D003622,Dapsone,80-08-0,2955,248.3,1.0,94.6,2,4,2,17,306.0
D003630,Daunorubicin,20830-81-3,30323,527.5,1.8,186.0,5,11,4,38,960.0
D003891,Desipramine,50-47-5,2995,266.4,4.9,15.3,1,2,4,20,267.0
C027118,didecyldimethylammonium,20256-56-8,16958,326.6,9.3,0.0,0,0,18,23,200.0
D004061,Diflunisal,22494-42-4,3059,250.2,4.4,57.5,2,5,2,18,311.0
D004177,Dipyrone,,522325,333.34,,92.4,0,6,4,22,552.0
D000077143,Docetaxel,,148124,807.9,1.6,224.0,5,14,13,58,1660.0
D013759,Dronabinol,,16078,314.5,7.0,29.5,1,2,4,23,439.0
C044101,"endotoxin, Escherichia coli",67924-63-4,53481793,5227.0,-14.8,2100.0,68,128,163,351,11000.0
C044101,"endotoxin, Escherichia coli",67924-63-4,53481793,5227.0,-14.8,2100.0,68,128,163,351,11000.0
D004917,Erythromycin,0114-07-08,12560,733.9,2.7,194.0,5,14,7,51,1180.0
D004929,Esculin,531-75-9,5281417,340.28,-0.6,146.0,5,9,3,24,495.0
D000068338,Everolimus,,6442177,958.2,5.9,205.0,3,14,9,68,1810.0
D005204,Farnesol,4602-84-0,445070,222.37,4.8,20.2,1,1,7,16,265.0
D005473,Fluoxetine,54910-89-3,3386,309.33,4.0,21.3,1,5,6,22,308.0
D000077156,Gefitinib,,123631,446.9,4.1,68.7,1,8,8,31,545.0
D000093542,Gemcitabine,,60750,263.2,-1.5,108.0,3,6,2,18,426.0
D005839,Gentamicins,,3467,477.6,-4.1,200.0,8,12,7,33,636.0
C022944,gossypin,652-78-8,5281621,480.4,0.0,227.0,9,13,4,34,789.0
D007213,Indomethacin,53-86-1,3715,357.8,4.3,68.5,1,4,4,25,506.0
D007501,Iron,7439-89-6,23925,55.84,,0.0,0,0,0,1,0.0
D000077213,Lamotrigine,84057-84-1,3878,256.09,1.4,90.7,2,5,1,16,242.0
D000069349,Linezolid,,441401,337.35,0.7,71.1,1,6,4,24,472.0
C068538,liposomal amphotericin B,,44405442,924.1,0.0,320.0,12,18,3,65,1670.0
D008345,Manganese,7439-96-5,23930,54.93804,,0.0,0,0,0,1,0.0
D008466,Mechlorethamine,,4033,156.05,0.9,3.2,0,1,4,8,43.7
D000077731,Meropenem,96036-03-02,441130,383.5,-2.4,135.0,3,7,5,26,679.0
D008802,Mezlocillin,51481-65-3,656511,539.6,-0.2,207.0,3,9,6,36,1080.0
D000077551,Micafungin,,477468,1270.3,-1.6,519.0,16,24,18,89,2580.0
D008911,Minocycline,10118-90-8,54675783,457.5,-0.6,165.0,5,9,3,33,971.0
D000077266,Moxifloxacin,,152946,401.4,0.6,82.1,2,8,4,29,727.0
C055172,N-7-(2-(nitrophenyldithio)ethyl)mitomycin C,95056-36-3,56855,547.6,1.8,229.0,3,12,10,37,1080.0
