ChemicalName,KEGG_ID,Disease,shared_pathways,jaccard,link_type
Carbon,C00011,Bronchitis,1,0.0303,novel_candidate
"Cholesterol, Dietary",C00187,Bronchitis,1,0.0303,novel_candidate
Ofloxacin,C05349,Bronchitis,1,0.0714,known
Cobalt,C00175,Bronchitis,1,0.0714,novel_candidate
Cocaine,C01416,Bronchitis,1,0.0714,novel_candidate
DDT,C04623,Bronchitis,1,0.0625,novel_candidate
Daunorubicin,C01907,Bronchitis,1,0.0714,novel_candidate
Diacetyl,C00741,Bronchitis,1,0.0714,known
Docetaxel,C11231,Bronchitis,1,0.0714,novel_candidate
Ethylene Dibromide,C11088,Bronchitis,1,0.0714,novel_candidate
Etoposide,C01576,Bronchitis,1,0.0714,novel_candidate
Hydrocortisone,C00735,Bronchitis,1,0.0455,novel_candidate
Leukotriene B4,C02165,Bronchitis,1,0.05,novel_candidate
Leukotriene C4,C02166,Bronchitis,1,0.0526,novel_candidate
Manganese,C00034,Bronchitis,1,0.0588,novel_candidate
Methotrexate,C01937,Bronchitis,1,0.0667,novel_candidate
Moxifloxacin,C07663,Bronchitis,1,0.0714,novel_candidate
Mustard Gas,C19164,Bronchitis,1,0.0714,known
Niacin,C00153,Bronchitis,1,0.0625,novel_candidate
nickel sulfate,C00291,Bronchitis,1,0.0625,novel_candidate
Nitric Oxide,C00533,Bronchitis,1,0.0192,novel_candidate
Paclitaxel,C07394,Bronchitis,1,0.0667,novel_candidate
Penicillin G,C05551,Bronchitis,1,0.0714,novel_candidate
Phenobarbital,C07434,Bronchitis,1,0.0714,novel_candidate
Salicylic Acid,C00805,Bronchitis,1,0.05,novel_candidate
Taurine,C00245,Bronchitis,1,0.0556,novel_candidate
Tetrachlorodibenzodioxin,C07557,Bronchitis,1,0.0588,novel_candidate
"theophylline, salbutamol drug combination",C07130,Bronchitis,1,0.0714,known
Vinblastine,C07201,Bronchitis,1,0.0667,novel_candidate
Zinc Sulfate,C00038,Bronchitis,1,0.0588,novel_candidate
arsenite,C06697,Bronchitis,1,0.0714,known
fexofenadine,C06999,Bronchitis,1,0.0714,novel_candidate
"lipopolysaccharide, Escherichia coli O111 B4",C00338,Bronchitis,1,0.037,novel_candidate
Acetylcholine,C01996,"Carcinoma, Bronchogenic",2,0.1053,novel_candidate
Methotrexate,C01937,"Carcinoma, Bronchogenic",2,0.4,known
Vinblastine,C07201,"Carcinoma, Bronchogenic",2,0.4,novel_candidate
"1,6-hexamethylene diisocyanate",C00001,"Carcinoma, Bronchogenic",1,0.05,novel_candidate
"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C00398,"Carcinoma, Bronchogenic",1,0.1429,novel_candidate
Acetaminophen,C06804,"Carcinoma, Bronchogenic",1,0.2,novel_candidate
Acrolein,C01471,"Carcinoma, Bronchogenic",1,0.1429,novel_candidate
Adenosine,C00002,"Carcinoma, Bronchogenic",1,0.0303,novel_candidate
Aspirin,C01405,"Carcinoma, Bronchogenic",1,0.2,novel_candidate
Betaine,C00318,"Carcinoma, Bronchogenic",1,0.1429,novel_candidate
Carbon,C00011,"Carcinoma, Bronchogenic",1,0.0417,novel_candidate
"Cholesterol, Dietary",C00187,"Carcinoma, Bronchogenic",1,0.0417,novel_candidate
Cyclic AMP,C00575,"Carcinoma, Bronchogenic",1,0.0116,novel_candidate
Docetaxel,C11231,"Carcinoma, Bronchogenic",1,0.2,novel_candidate
Etoposide,C01576,"Carcinoma, Bronchogenic",1,0.2,known
Glutathione,C00051,"Carcinoma, Bronchogenic",1,0.0833,novel_candidate
Hydrocortisone,C00735,"Carcinoma, Bronchogenic",1,0.0769,novel_candidate
Hydroxyurea,C07044,"Carcinoma, Bronchogenic",1,0.2,known
Ifosfamide,C07047,"Carcinoma, Bronchogenic",1,0.2,known
Leukotriene B4,C02165,"Carcinoma, Bronchogenic",1,0.0909,novel_candidate
Leukotriene C4,C02166,"Carcinoma, Bronchogenic",1,0.1,novel_candidate
Paclitaxel,C07394,"Carcinoma, Bronchogenic",1,0.1667,novel_candidate
Penicillin G,C05551,"Carcinoma, Bronchogenic",1,0.2,novel_candidate
Salicylic Acid,C00805,"Carcinoma, Bronchogenic",1,0.0909,novel_candidate
Vincristine,C07204,"Carcinoma, Bronchogenic",1,0.2,known
