ChemicalName,KEGG_ID,Disease,shared_pathways,sig_weight,compound_class,link_type,pathways
Caffeine,C07481,Bronchitis,1,1.994,other,novel_candidate,Caffeine metabolism
"1,7-Dimethylxanthine",C13747,Bronchitis,1,1.994,drug,novel_candidate,Caffeine metabolism
Methotrexate,C01937,"Carcinoma, Bronchogenic",2,12.849,drug,known,Bile secretion; Folate transport and metabolism
Acetylcholine,C01996,"Carcinoma, Bronchogenic",2,12.849,endogenous,novel_candidate,Bile secretion; Folate transport and metabolism
Glutathione,C00051,"Carcinoma, Bronchogenic",1,10.773,endogenous,novel_candidate,Bile secretion
Aspirin,C01405,"Carcinoma, Bronchogenic",1,10.773,other,novel_candidate,Bile secretion
Etoposide,C01576,"Carcinoma, Bronchogenic",1,10.773,drug,known,Bile secretion
Leukotriene B4,C02165,"Carcinoma, Bronchogenic",1,10.773,endogenous,novel_candidate,Bile secretion
Leukotriene C4,C02166,"Carcinoma, Bronchogenic",1,10.773,endogenous,novel_candidate,Bile secretion
Penicillin G,C05551,"Carcinoma, Bronchogenic",1,10.773,drug,novel_candidate,Bile secretion
Acetaminophen,C06804,"Carcinoma, Bronchogenic",1,10.773,other,novel_candidate,Bile secretion
Fexofenadine,C06999,"Carcinoma, Bronchogenic",1,10.773,drug,novel_candidate,Bile secretion
Paclitaxel,C07394,"Carcinoma, Bronchogenic",1,10.773,other,novel_candidate,Bile secretion
Betaine,C00719,"Carcinoma, Bronchogenic",1,2.076,endogenous,novel_candidate,Folate transport and metabolism
Nitric oxide,C00533,Pneumonia,22,51.665,endogenous,known,Allograft rejection; Amoebiasis; Apelin signaling pathway; Chagas disease; Circadian entrainment; Estrogen signaling pathway; Gap junction; Graft-versus-host disease; HIF-1 signaling pathway; Hepatocellular carcinoma; Nitrogen cycle; Nitrogen metabolism; Oxytocin signaling pathway; Pathways in cancer; Platelet activation; Relaxin signaling pathway; Renin secretion; Salivary secretion; Sphingolipid signaling pathway; Two-component system; Vascular smooth muscle contraction; cGMP-PKG signaling pathway
Acetylcholine,C01996,Pneumonia,4,23.982,endogenous,novel_candidate,Bile secretion; Folate transport and metabolism; Neuroactive ligand-receptor interaction; Salivary secretion
Adenosine,C00212,Pneumonia,6,22.77,endogenous,novel_candidate,ABC transporters; Neuroactive ligand-receptor interaction; Renin secretion; Sphingolipid signaling pathway; Vascular smooth muscle contraction; cGMP-PKG signaling pathway
Leukotriene B4,C02165,Pneumonia,3,21.86,endogenous,novel_candidate,Bile secretion; Inflammatory mediator regulation of TRP channels; Neuroactive ligand-receptor interaction
Leukotriene C4,C02166,Pneumonia,2,18.533,endogenous,novel_candidate,Bile secretion; Neuroactive ligand-receptor interaction
Glutathione,C00051,Pneumonia,2,13.627,endogenous,novel_candidate,ABC transporters; Bile secretion
Methotrexate,C01937,Pneumonia,2,12.849,drug,known,Bile secretion; Folate transport and metabolism
Taurine,C00245,Pneumonia,3,12.027,endogenous,known,ABC transporters; Neuroactive ligand-receptor interaction; Sulfur metabolism
Histamine,C00388,Pneumonia,2,11.087,endogenous,novel_candidate,Inflammatory mediator regulation of TRP channels; Neuroactive ligand-receptor interaction
Aspirin,C01405,Pneumonia,1,10.773,other,novel_candidate,Bile secretion
Etoposide,C01576,Pneumonia,1,10.773,drug,novel_candidate,Bile secretion
Penicillin G,C05551,Pneumonia,1,10.773,drug,known,Bile secretion
Acetaminophen,C06804,Pneumonia,1,10.773,other,novel_candidate,Bile secretion
Fexofenadine,C06999,Pneumonia,1,10.773,drug,novel_candidate,Bile secretion
Paclitaxel,C07394,Pneumonia,1,10.773,other,known,Bile secretion
Leukotriene D4,C05951,Pneumonia,1,7.76,endogenous,novel_candidate,Neuroactive ligand-receptor interaction
Nicotine,C00745,Pneumonia,1,7.5,environmental,novel_candidate,Chemical carcinogenesis - receptor activation
DDT,C04623,Pneumonia,1,7.5,environmental,novel_candidate,Chemical carcinogenesis - receptor activation
Phenobarbital,C07434,Pneumonia,1,7.5,drug,novel_candidate,Chemical carcinogenesis - receptor activation
Bisphenol A,C13624,Pneumonia,1,7.5,environmental,known,Chemical carcinogenesis - receptor activation
Sirolimus,C07909,Pneumonia,3,6.591,other,known,Longevity regulating pathway; Longevity regulating pathway - worm; Type I polyketide structures
Acrolein,C01471,Pneumonia,2,4.948,environmental,known,Hepatocellular carcinoma; Pathways in cancer
Betaine,C00719,Pneumonia,2,4.93,endogenous,novel_candidate,ABC transporters; Folate transport and metabolism
Resveratrol,C03582,Pneumonia,2,4.707,drug,novel_candidate,Longevity regulating pathway; Longevity regulating pathway - worm
Vancomycin,C06689,Pneumonia,1,4.095,drug,known,Two-component system
Capsaicin,C06866,Pneumonia,1,3.327,other,known,Inflammatory mediator regulation of TRP channels
Acetaldehyde,C00084,Pneumonia,2,2.857,environmental,novel_candidate,Chloroalkane and chloroalkene degradation; Sulfur metabolism
Ciprofloxacin,C05349,Pneumonia,1,2.854,drug,known,ABC transporters
Moxifloxacin,C07663,Pneumonia,1,2.854,drug,known,ABC transporters
Hydrogen sulfide,C00283,Pneumonia,2,2.819,other,novel_candidate,Sulfur cycle; Sulfur metabolism
Theophylline,C07130,Pneumonia,1,1.994,drug,known,Caffeine metabolism
Caffeine,C07481,Pneumonia,1,1.994,other,known,Caffeine metabolism
"1,7-Dimethylxanthine",C13747,Pneumonia,1,1.994,drug,novel_candidate,Caffeine metabolism
Erythromycin,C01912,Pneumonia,1,1.884,drug,known,Type I polyketide structures
Amphotericin B,C06573,Pneumonia,1,1.884,drug,known,Type I polyketide structures
Quercetin,C00389,Pneumonia,1,1.483,drug,novel_candidate,Degradation of flavonoids
