DiseaseName,# ChemicalName,ChemicalID,CasRN,DirectEvidence,PubMedIDs
Bronchitis,Aminophylline,D000628,317-34-0,therapeutic,9241539
Bronchitis,Amoxicillin-Potassium Clavulanate Combination,D019980,74469-00-4,therapeutic,15616290
Bronchitis,Antimony,D000965,7440-36-0,marker/mechanism,8768112
Bronchitis,arsenite,C015001,15502-74-6,marker/mechanism,23876855
Bronchitis,Betaine,D001622,107-43-7,therapeutic,39742927
Bronchitis,cefbuperazone,C035978,76610-84-9,therapeutic,6308296
Bronchitis,Cefixime,D020682,79350-37-1,therapeutic,2041146
Bronchitis,Cephalosporins,D002511,,therapeutic,9819955
Bronchitis,Clarithromycin,D017291,81103-11-9,therapeutic,18794663|9788033|9819955
Bronchitis,Demeclocycline,D003707,127-33-3,therapeutic,4328367
Bronchitis,Diacetyl,D003931,0431-03-08,marker/mechanism,18227102
Bronchitis,Doxycycline,D004318,564-25-0,therapeutic,9004058
Bronchitis,Enoxacin,D015365,74011-58-8,therapeutic,3258863
Bronchitis,Fleroxacin,D016576,79660-72-3,therapeutic,7868853
Bronchitis,Methomyl,D008724,16752-77-5,marker/mechanism,39742927
Bronchitis,Mustard Gas,D009151,505-60-2,marker/mechanism,21129433
Bronchitis,Nicotine,D009538,,marker/mechanism,27806211
Bronchitis,Nitrogen Dioxide,D009585,10102-44-0,marker/mechanism,16912084
Bronchitis,Ofloxacin,D015242,82419-36-1,therapeutic,10388331|11131957|8750178
Bronchitis,Ovalbumin,D010047,9006-59-1,marker/mechanism,28415675
Bronchitis,Particulate Matter,D052638,,marker/mechanism,17938744|19337525|26655675|28106813|28415675|31520956
Bronchitis,Polycyclic Aromatic Hydrocarbons,D011084,,marker/mechanism,17938744
Bronchitis,Salmeterol Xinafoate,D000068299,,therapeutic,23548184
Bronchitis,Smoke,D012906,,marker/mechanism,21705297
Bronchitis,Terbutaline,D013726,23031-25-6,therapeutic,4479294
Bronchitis,Tetracycline,D013752,60-54-8,therapeutic,4301397
Bronchitis,Theophylline,D013806,58-55-9,therapeutic,3025113
Bronchitis,Tobacco Smoke Pollution,D014028,,marker/mechanism,16425588
Bronchitis,tobacco tar,C024746,,marker/mechanism,27806211
Bronchitis,"Trimethoprim, Sulfamethoxazole Drug Combination",D015662,8064-90-2,therapeutic,63882|7256343
Bronchitis,vanadium pentoxide,C066075,1314-62-1,marker/mechanism,17459161
Bronchitis,Vehicle Emissions,D001335,,marker/mechanism,12948892|16912084
Pneumonia,14-hydroxydocosahexaenoic acid,C059528,86360-66-9,therapeutic,34601004
Pneumonia,"1,5-anhydrofructose",C048927,75414-43-6,therapeutic,19559007
Pneumonia,"17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid",C062894,90780-52-2,therapeutic,34601004
Pneumonia,18(R)-hydroxyeicosapentaenoic acid,C561691,,therapeutic,34601004
Pneumonia,"2,4-Dichlorophenoxyacetic Acid",D015084,94-75-7,marker/mechanism,33865415
Pneumonia,2-chloroethyl ethyl sulfide,C031278,0693-07-02,marker/mechanism,19464336|32157350
Pneumonia,2-oxothiazolidine-4-carboxylic acid,C029536,,therapeutic,19560508
Pneumonia,3-(pyridin-3-ylsulfonyl)-5-(trifluoromethyl)-2H-chromen-2-one,C000623021,,therapeutic,28790194
Pneumonia,"4-((3-bromophenyl)amino)-6,7-dimethoxyquinazoline",C088860,,therapeutic,26464147
Pneumonia,acetovanillone,C056165,0498-02-02,therapeutic,21983654
Pneumonia,Acrolein,D000171,0107-02-08,marker/mechanism,36806656
Pneumonia,Adrenal Cortex Hormones,D000305,,therapeutic,12947150
Pneumonia,Air Pollutants,D000393,,marker/mechanism,18367723|34416640|36675130
Pneumonia,Aluminum Oxide,D000537,1344-28-1,marker/mechanism,19270794|22240982
Pneumonia,aluminum oxide hydroxide,C069471,63957-70-0,marker/mechanism,19428954
Pneumonia,Aluminum Silicates,D000538,,marker/mechanism,20368128
Pneumonia,Amikacin,D000583,37517-28-5,therapeutic,1108649|319355
Pneumonia,Amiodarone,D000638,1951-25-3,marker/mechanism,1595783|16131795|16858166|3997294|6409240|6861927|9855346
Pneumonia,Amoxicillin-Potassium Clavulanate Combination,D019980,74469-00-4,therapeutic,10369618|12501879|15328092|16446376|18028086
Pneumonia,Amphotericin B,D000666,1397-89-3,therapeutic,1357285|16538979
Pneumonia,Ampicillin,D000667,69-53-4,therapeutic,6637917|835515
Pneumonia,angiotensin I (1-7),C118790,,therapeutic,28960804
Pneumonia,"Antigens, Dermatophagoides",D039741,,marker/mechanism,24060272|24453940|36975775
Pneumonia,Arsenic,D001151,7440-38-2,marker/mechanism,26497043
Pneumonia,Asbestos,D001194,1332-21-4,marker/mechanism,21362472
Pneumonia,"Asbestos, Amosite",D017639,12172-73-5,marker/mechanism,21797767|22251266|27083413
Pneumonia,"Asbestos, Amphibole",D017636,,marker/mechanism,22168577|22251266|27083413
Pneumonia,"Asbestos, Crocidolite",D017638,12001-28-4,marker/mechanism,17849262
Pneumonia,"Asbestos, Serpentine",D017632,,marker/mechanism,16266986|20368128|32755622
Pneumonia,Azithromycin,D017963,83905-01-05,therapeutic,10858333|16856707
Pneumonia,bacampicillin,C011674,,therapeutic,6352033
Pneumonia,bisphenol A,C006780,80-05-7,marker/mechanism,28285737
Pneumonia,Bleomycin,D001761,11056-06-07,marker/mechanism,16317386|17071938|18024389|19362168|25071917|26600069|32828905|36087614|54212
Pneumonia,Blood Glucose,D001786,,marker/mechanism,25221900
Pneumonia,BUCY-2 protocol,C071005,,marker/mechanism,2025579
Pneumonia,Butylated Hydroxytoluene,D002084,128-37-0,marker/mechanism,11893704
Pneumonia,Cadmium,D002104,7440-43-9,marker/mechanism,22094458
Pneumonia,Cadmium Chloride,D019256,10108-64-2,marker/mechanism,20826145|39587603
Pneumonia,Caffeine,D002110,58-08-2,marker/mechanism,29055810
Pneumonia,Calcium Sulfate,D002133,7778-18-9,marker/mechanism,20368128
Pneumonia,Capsaicin,D002211,404-86-4,marker/mechanism,22575871
Pneumonia,Carbenicillin,D002228,4697-36-3,therapeutic,256433|4850936
Pneumonia,Carboplatin,D016190,41575-94-4,marker/mechanism,16612156
Pneumonia,Carmustine,D002330,154-93-8,marker/mechanism,6354414
Pneumonia,cefditoren pivoxil,C057710,,therapeutic,12501878|12501879
Pneumonia,Cefixime,D020682,79350-37-1,therapeutic,2041146
Pneumonia,Cefotaxime,D002439,63527-52-6,therapeutic,1583528|2041948
Pneumonia,Cefpodoxime Proxetil,D000097627,,therapeutic,12501878
Pneumonia,Ceftazidime,D002442,78439-06-02,therapeutic,21227004|3578331
Pneumonia,Ceftriaxone,D002443,73384-59-5,therapeutic,12642754|18444848|21166949|21227004
Pneumonia,Cefuroxime,D002444,55268-75-2,therapeutic,10858333|2041948
Pneumonia,Cephalothin,D002512,153-61-7,therapeutic,4850936
Pneumonia,ceric oxide,C030583,1306-38-3,marker/mechanism,22240982
Pneumonia,Chloramphenicol,D002701,56-75-7,marker/mechanism,4023934|6071896
Pneumonia,Chloramphenicol,D002701,56-75-7,therapeutic,2041948
Pneumonia,"Cholesterol, Dietary",D002791,,marker/mechanism,34601004
Pneumonia,CHOP protocol,C034587,,marker/mechanism,11732872
Pneumonia,Cilostazol,D000077407,73963-72-1,therapeutic,16645267
Pneumonia,Ciprofloxacin,D002939,85721-33-1,therapeutic,1541177|3555062|3578331
Pneumonia,Cisplatin,D002945,15663-27-1,marker/mechanism,21415776
Pneumonia,Clarithromycin,D017291,81103-11-9,therapeutic,12503933|17021990|20491717|9347384|9606474|9972380
Pneumonia,Coal,D003031,,marker/mechanism,19270797|26774687
Pneumonia,Coal Ash,D060729,,marker/mechanism,9710962
Pneumonia,Cobalt,D003035,7440-48-4,marker/mechanism,22198552
Pneumonia,cobalt oxide,C060728,11104-61-3,marker/mechanism,22240982
Pneumonia,Cocaine,D003042,50-36-2,marker/mechanism,16935692|19204526
Pneumonia,Copper Sulfate,D019327,7758-98-7,marker/mechanism,19679144
Pneumonia,Crack Cocaine,D016578,,marker/mechanism,12947150
Pneumonia,Crizotinib,D000077547,,marker/mechanism,23686600
Pneumonia,cupric oxide,C030973,1317-38-0,marker/mechanism,22240982
Pneumonia,cyclocreatine,C012260,35404-50-3,marker/mechanism,34411581
Pneumonia,Cyclophosphamide,D003520,50-18-0,marker/mechanism,2705179
Pneumonia,Cytarabine,D003561,147-94-4,marker/mechanism,12531223
Pneumonia,Dantrolene,D003620,7261-97-4,marker/mechanism,6736987
Pneumonia,Dapsone,D003622,80-08-0,marker/mechanism,19583683
Pneumonia,Daunorubicin,D003630,20830-81-3,marker/mechanism,12531223
Pneumonia,Desipramine,D003891,50-47-5,therapeutic,17477857
Pneumonia,Dexamethasone,D003907,50-02-2,therapeutic,10380089|21414392|37004399
Pneumonia,didecyldimethylammonium,C027118,20256-56-8,marker/mechanism,32763356
Pneumonia,Dietary Fats,D004041,,marker/mechanism,34601004
Pneumonia,Diflunisal,D004061,22494-42-4,marker/mechanism,9187209
Pneumonia,Dipyrone,D004177,,marker/mechanism,21429049
Pneumonia,Docetaxel,D000077143,,marker/mechanism,12365019|21415776
Pneumonia,Doxycycline,D004318,564-25-0,therapeutic,9145823
Pneumonia,Dronabinol,D013759,,therapeutic,32872332
Pneumonia,Dust,D004391,,marker/mechanism,24376072|26774687|26882889|32777237
Pneumonia,Enalapril,D004656,75847-73-3,therapeutic,19114890
Pneumonia,"endotoxin, Escherichia coli",C044101,67924-63-4,marker/mechanism,19114890
Pneumonia,Enoxacin,D015365,74011-58-8,therapeutic,3258863
Pneumonia,"enterotoxin B, staphylococcal",C031818,39424-53-8,marker/mechanism,32872332
Pneumonia,Epoxy Compounds,D004852,,marker/mechanism,12504350
Pneumonia,Erythromycin,D004917,0114-07-08,therapeutic,10858333
Pneumonia,Esculin,D004929,531-75-9,therapeutic,39142713
Pneumonia,Everolimus,D000068338,,marker/mechanism,17346627
Pneumonia,Farnesol,D005204,4602-84-0,therapeutic,18793622
Pneumonia,Fluoxetine,D005473,54910-89-3,therapeutic,17477857
Pneumonia,Formaldehyde,D005557,50-00-0,marker/mechanism,21983654
Pneumonia,Formoterol Fumarate,D000068759,,therapeutic,20826145
Pneumonia,Gefitinib,D000077156,,marker/mechanism,20646869
Pneumonia,Gemcitabine,D000093542,,marker/mechanism,12365019|12367796
Pneumonia,Gentamicins,D005839,,therapeutic,11895059|16225114|4850936
Pneumonia,Glucocorticoids,D005938,,therapeutic,9187209
Pneumonia,Glyphosate,D000097797,,marker/mechanism,25172162
Pneumonia,gossypin,C022944,652-78-8,therapeutic,37148149
Pneumonia,Hexadimethrine Bromide,D006583,########,therapeutic,32157350
Pneumonia,Indomethacin,D007213,53-86-1,therapeutic,21983654
Pneumonia,Ipratropium,D009241,60205-81-4,therapeutic,20826145
Pneumonia,Iron,D007501,7439-89-6,marker/mechanism,22198552
Pneumonia,Lamotrigine,D000077213,84057-84-1,marker/mechanism,16442685
Pneumonia,Latex,D007840,,marker/mechanism,18938192
Pneumonia,Linezolid,D000069349,,therapeutic,14520146|16735427
Pneumonia,"lipopolysaccharide, E. coli O26-B6",C433788,,marker/mechanism,20975550|22465845
Pneumonia,"lipopolysaccharide, Escherichia coli O111 B4",C440499,,marker/mechanism,33949057
Pneumonia,Lipopolysaccharides,D008070,,marker/mechanism,11605937|11907180|12224865|15863634|18938192|27302421|29055810|33865415|34978009|37148149|39142713
Pneumonia,liposomal amphotericin B,C068538,,therapeutic,8901182
Pneumonia,m-ACOD protocol,C070074,,marker/mechanism,1713121
Pneumonia,Magnesium Silicates,D017633,,marker/mechanism,20368128
Pneumonia,Magnetite Nanoparticles,D058185,,marker/mechanism,19428954
Pneumonia,Manganese,D008345,7439-96-5,marker/mechanism,19263519
Pneumonia,M-BACOD protocol,C035353,,marker/mechanism,1713121
Pneumonia,Mechlorethamine,D008466,,marker/mechanism,20883710
Pneumonia,Meropenem,D000077731,96036-03-02,therapeutic,15221158|16882111
Pneumonia,Methotrexate,D008727,59-05-2,marker/mechanism,10846532|1450620|19449473|2803334|9651097
Pneumonia,Methylprednisolone,D008775,83-43-2,marker/mechanism,20831552
Pneumonia,Mezlocillin,D008802,51481-65-3,therapeutic,9527154
Pneumonia,Micafungin,D000077551,,therapeutic,19148589
Pneumonia,MINE protocol,C092704,,marker/mechanism,19787462
Pneumonia,Minocycline,D008911,10118-90-8,therapeutic,11600379
Pneumonia,Moxifloxacin,D000077266,,therapeutic,19680025|20731847
Pneumonia,Mustard Gas,D009151,505-60-2,marker/mechanism,19482056|34390737
Pneumonia,N-7-(2-(nitrophenyldithio)ethyl)mitomycin C,C055172,95056-36-3,marker/mechanism,9667686
Pneumonia,"Nanotubes, Carbon",D037742,,marker/mechanism,19836432|19857541|20368128|25554681|31265265|32771490
Pneumonia,naphthalan,C043836,37229-16-6,therapeutic,19637834
Pneumonia,naringin,C005274,10236-47-2,therapeutic,22575871
Pneumonia,Niacin,D009525,,therapeutic,20975550
Pneumonia,Nickel,D009532,7440-02-0,marker/mechanism,20936915|22198552
Pneumonia,nickel monoxide,C028007,1313-99-1,marker/mechanism,19270794|22240982
Pneumonia,nickel sulfate,C029938,7786-81-4,marker/mechanism,19679144
Pneumonia,Nitric Oxide,D009569,10102-43-9,marker/mechanism,17450216
Pneumonia,Nitrogen Dioxide,D009585,10102-44-0,marker/mechanism,22763046
Pneumonia,"N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride",C434926,,therapeutic,25221900
Pneumonia,Ofloxacin,D015242,82419-36-1,therapeutic,15708235|19189043|19856068
Pneumonia,Ovalbumin,D010047,9006-59-1,marker/mechanism,21429049|26882889|29545090|37004399
Pneumonia,ovalbumin-alum,C446402,,marker/mechanism,11907180
Pneumonia,Oxygen,D010100,7782-44-7,marker/mechanism,23337360|25221900
Pneumonia,Ozone,D010126,10028-15-6,marker/mechanism,18007984|18381685|18929643|21543283|22763046|26464147|26647366|26949510|28790194|29247675|33383130|34558223|36675130
Pneumonia,Paclitaxel,D017239,,marker/mechanism,12367796|16612156
Pneumonia,Paraquat,D010269,4685-14-7,marker/mechanism,12504350|30967525
Pneumonia,Particulate Matter,D052638,,marker/mechanism,17450216|18197293|18686106|19272399|19337525|20049117|22634322|24060272|24136897|24376072|26041432|27377055|28917655|29233668|29540651|29787794|30963444|31884678|31941512|33161053|34416640|35795853|36975775|38941663
Pneumonia,Pemetrexed,D000068437,,marker/mechanism,21415776
Pneumonia,Penicillin G,D010400,61-33-6,therapeutic,4998180|6028697
Pneumonia,Penicillins,D010406,,therapeutic,1583528
Pneumonia,perfluorodecanoic acid,C036567,335-76-2,marker/mechanism,32717646
Pneumonia,perilla seed oil,C058216,68132-21-8,marker/mechanism,10720173
Pneumonia,Phenacetin,D010615,62-44-2,marker/mechanism,5660814
Pneumonia,Piperacillin,D010878,61477-96-1,therapeutic,6391888
Pneumonia,Piroxicam,D010894,36322-90-4,therapeutic,21414392
Pneumonia,polyhexamethyleneguanidine,C060540,31961-54-3,marker/mechanism,24769016|25716161|38969276
Pneumonia,pranlukast,C047681,,therapeutic,21429049
Pneumonia,Prednisolone,D011239,50-24-8,therapeutic,17477857|3997294
Pneumonia,Prednisone,D011241,53-03-2,marker/mechanism,4850720
Pneumonia,Quartz,D011791,14808-60-7,marker/mechanism,17030555|19836432
Pneumonia,quinupristin-dalfopristin,C062940,126602-89-9,therapeutic,11600379
Pneumonia,Riluzole,D019782,1744-22-5,marker/mechanism,31029113
Pneumonia,Rosiglitazone,D000077154,,therapeutic,24612634
Pneumonia,RU.521,C000626046,,therapeutic,39587603
Pneumonia,salvianolic acid B,C076944,115939-25-8,therapeutic,35795853
Pneumonia,Sildenafil Citrate,D000068677,,therapeutic,21414392
Pneumonia,Silicon Dioxide,D012822,7631-86-9,marker/mechanism,21414392|29341224|31284023|32017981|8063194
Pneumonia,Silver Compounds,D018030,,marker/mechanism,32367270|34601004
Pneumonia,Silver Nitrate,D012835,7761-88-8,marker/mechanism,32367270
Pneumonia,Sirolimus,D020123,,marker/mechanism,15219060
Pneumonia,Smoke,D012906,,marker/mechanism,21705297
Pneumonia,Sodium Selenite,D018038,10102-18-8,therapeutic,28285737
Pneumonia,Soot,D053260,,marker/mechanism,25071917
Pneumonia,ST2825,C525002,,therapeutic,35795853
Pneumonia,Steroids,D013256,,marker/mechanism,16131795
Pneumonia,Streptomycin,D013307,57-92-1,therapeutic,4998180|6028697
Pneumonia,Styrene,D020058,,marker/mechanism,19428955
Pneumonia,Sulfasalazine,D012460,599-79-1,marker/mechanism,2859799|2894766
Pneumonia,Sulfur Dioxide,D013458,########,marker/mechanism,25115710
Pneumonia,Taurine,D013654,107-35-7,marker/mechanism,19362168
Pneumonia,Theophylline,D013806,58-55-9,therapeutic,1541177
Pneumonia,titanium dioxide,C009495,13463-67-7,marker/mechanism,22956629|27760801|30012374|8063194
Pneumonia,Tobacco Smoke Pollution,D014028,,marker/mechanism,18793622|22575871|24612634|24632068|24633890|28790194|28960804|29205062|33660100
Pneumonia,Tobramycin,D014031,32986-56-4,therapeutic,256433|3578331
Pneumonia,"Trimethoprim, Sulfamethoxazole Drug Combination",D015662,8064-90-2,therapeutic,25170804|9972380
Pneumonia,triptolide,C001899,38748-32-2,therapeutic,20348278
Pneumonia,troclosene,C011765,2782-57-2,marker/mechanism,35675544
Pneumonia,Tungsten,D014414,7440-33-7,marker/mechanism,22198552
Pneumonia,Ursodeoxycholic Acid,D014580,128-13-2,marker/mechanism,22942741
Pneumonia,valspodar,C070272,121584-18-7,marker/mechanism,12531223
Pneumonia,Vanadium,D014639,7440-62-2,marker/mechanism,9710962
Pneumonia,Vancomycin,D014640,1404-90-6,therapeutic,15221158|17060545
Pneumonia,Vehicle Emissions,D001335,,marker/mechanism,17450216|19560508|20049117|24060272
Pneumonia,Venlafaxine Hydrochloride,D000069470,,marker/mechanism,12663337
Pneumonia,Vinblastine,D014747,865-21-4,marker/mechanism,54212
Pneumonia,Voriconazole,D065819,,therapeutic,19148589
Pneumonia,Vorinostat,D000077337,,marker/mechanism,18854394
Pneumonia,wogonin,C085514,632-85-9,therapeutic,37004399
Pneumonia,yupingfeng,C532967,,therapeutic,37004399
Pneumonia,Zinc,D015032,7440-66-6,marker/mechanism,18197293
Pneumonia,zinc chromate,C023616,13530-65-9,marker/mechanism,19109987
Pneumonia,Zinc Oxide,D015034,1314-13-2,marker/mechanism,22240982|23832296|35247504
Pneumonia,Zinc Sulfate,D019287,7733-02-0,marker/mechanism,19679144
"Rhinitis, Allergic","2,4-Dichlorophenoxyacetic Acid",D015084,94-75-7,marker/mechanism,27384423
"Rhinitis, Allergic","4,4'-diphenylmethane diisocyanate",C005969,,marker/mechanism,7973495
"Rhinitis, Allergic",Air Pollutants,D000393,,marker/mechanism,29028686
"Rhinitis, Allergic",Aluminum Hydroxide,D000536,21645-51-2,marker/mechanism,36855022
"Rhinitis, Allergic","Antigens, Bacterial",D000942,,marker/mechanism,21108952
"Rhinitis, Allergic","Antigens, Helminth",D000947,,marker/mechanism,21108952
"Rhinitis, Allergic",Apigenin,D047310,520-36-5,therapeutic,36350155
"Rhinitis, Allergic",Astemizole,D016589,68844-77-9,therapeutic,8917271
"Rhinitis, Allergic",Atrazine,D001280,1912-24-9,marker/mechanism,27384423
"Rhinitis, Allergic",bentazone,C002003,25057-89-0,marker/mechanism,27384423
"Rhinitis, Allergic",beta-eudesmol,C051082,473-15-4,therapeutic,30148989
"Rhinitis, Allergic",bisphenol A,C006780,80-05-7,marker/mechanism,32909835|32964057
"Rhinitis, Allergic",bufotalin,C004600,471-95-4,therapeutic,36455750
"Rhinitis, Allergic",cang er zi wan,C550144,,therapeutic,36855022
"Rhinitis, Allergic",Carbaryl,D012721,63-25-2,marker/mechanism,27384423
"Rhinitis, Allergic",Cetirizine,D017332,83881-51-0,therapeutic,21381763
"Rhinitis, Allergic",Chlorpyrifos,D004390,2921-88-2,marker/mechanism,27384423
"Rhinitis, Allergic",desloratadine,C121345,,therapeutic,21381763
"Rhinitis, Allergic",Dexamethasone,D003907,50-02-2,therapeutic,31669322|36350155
"Rhinitis, Allergic",Dicamba,D003996,1918-00-9,marker/mechanism,27384423
"Rhinitis, Allergic",Diethylhexyl Phthalate,D004051,117-81-7,marker/mechanism,32884073
"Rhinitis, Allergic",Dimethoate,D004117,60-51-5,marker/mechanism,27384423
"Rhinitis, Allergic",Etodolac,D017308,41340-25-4,therapeutic,16979129
"Rhinitis, Allergic",fexofenadine,C093230,,therapeutic,16037679|21381763
"Rhinitis, Allergic",geraniol,C007836,624-15-7,therapeutic,30254419
"Rhinitis, Allergic",Glyphosate,D000097797,,marker/mechanism,27384423
"Rhinitis, Allergic",Herbicides,D006540,,marker/mechanism,27384423
"Rhinitis, Allergic",hydroxysafflor yellow A,C085278,146087-19-6,therapeutic,37195255
"Rhinitis, Allergic",Insecticides,D007306,,marker/mechanism,27384423
"Rhinitis, Allergic",levocetirizine,C472067,130018-77-8,therapeutic,21381763
"Rhinitis, Allergic",Loratadine,D017336,79794-75-5,therapeutic,16527031|21381763
"Rhinitis, Allergic",Malathion,D008294,121-75-5,marker/mechanism,27384423
"Rhinitis, Allergic",Methylprednisolone,D008775,83-43-2,therapeutic,2910281
"Rhinitis, Allergic",mono(2-ethyl-5-hydroxyhexyl) phthalate,C479069,,marker/mechanism,36127783
"Rhinitis, Allergic",mono(2-ethyl-5-oxohexyl)phthalate,C080276,40321-98-0,marker/mechanism,36127783
"Rhinitis, Allergic",nimesulide,C012655,51803-78-2,marker/mechanism,10609620
"Rhinitis, Allergic",Nitrogen Dioxide,D009585,10102-44-0,marker/mechanism,23728483|26996571
"Rhinitis, Allergic",nonylphenol,C025256,25154-52-3,marker/mechanism,36029577
"Rhinitis, Allergic",Ovalbumin,D010047,9006-59-1,marker/mechanism,30481581|30803854|31669322|32964057|35533451|36350155|36455750|36855022|37195255
"Rhinitis, Allergic",ovalbumin-alum,C446402,,marker/mechanism,30254419|30481581|34624383
"Rhinitis, Allergic",Oxymetazoline,D010109,1491-59-4,therapeutic,3340705
"Rhinitis, Allergic",Particulate Matter,D052638,,marker/mechanism,30481581
"Rhinitis, Allergic",Permethrin,D026023,52645-53-1,marker/mechanism,27384423
"Rhinitis, Allergic",Petroleum,D010578,,marker/mechanism,27384423
"Rhinitis, Allergic",Picloram,D010846,########,marker/mechanism,27384423
"Rhinitis, Allergic",Pyrethrins,D011722,,marker/mechanism,27384423
"Rhinitis, Allergic",Quinpirole,D019257,85760-74-3,therapeutic,34624383
"Rhinitis, Allergic",ramatroban,C063119,116649-85-5,therapeutic,16037679|16979129|21355602|21916510
"Rhinitis, Allergic",Rodenticides,D012378,,marker/mechanism,27384423
"Rhinitis, Allergic",Rosiglitazone,D000077154,,therapeutic,18652780
"Rhinitis, Allergic",saikosaponin D,C025759,,therapeutic,31669322
"Rhinitis, Allergic",Simazine,D012839,122-34-9,marker/mechanism,27384423
"Rhinitis, Allergic",Soot,D053260,,marker/mechanism,26996571
"Rhinitis, Allergic",Sulfur Dioxide,D013458,########,marker/mechanism,26996571
"Rhinitis, Allergic",Terfenadine,D016593,50679-08-08,therapeutic,16037679|8006312
"Rhinitis, Allergic",Triamcinolone Acetonide,D014222,76-25-5,therapeutic,113742
"Rhinitis, Allergic",triclopyr,C032742,55335-06-03,marker/mechanism,27384423
"Rhinitis, Allergic",Triclosan,D014260,3380-34-5,marker/mechanism,23146048|33654271
"Rhinitis, Allergic",Trifluralin,D014274,1582-09-08,marker/mechanism,27384423
"Rhinitis, Allergic",Warfarin,D014859,81-81-2,marker/mechanism,27384423
"Rhinitis, Allergic",zafirlukast,C062735,107753-78-6,therapeutic,16527031
"Carcinoma, Bronchogenic",Asbestos,D001194,1332-21-4,marker/mechanism,23885834
"Carcinoma, Bronchogenic",Busulfan,D002066,55-98-1,marker/mechanism,4301103
"Carcinoma, Bronchogenic",Carboplatin,D016190,41575-94-4,therapeutic,9137524
"Carcinoma, Bronchogenic",Cisplatin,D002945,15663-27-1,therapeutic,9137524
"Carcinoma, Bronchogenic",Cyclophosphamide,D003520,50-18-0,therapeutic,4559404
"Carcinoma, Bronchogenic",Dactinomycin,D003609,50-76-0,therapeutic,4559404
"Carcinoma, Bronchogenic",Etoposide,D005047,33419-42-0,therapeutic,9137524
"Carcinoma, Bronchogenic",Hydroxyurea,D006918,0127-07-01,therapeutic,4559404
"Carcinoma, Bronchogenic",Ifosfamide,D007069,3778-73-2,therapeutic,2156418|6106781
"Carcinoma, Bronchogenic",Lomustine,D008130,13010-47-4,therapeutic,4559404
"Carcinoma, Bronchogenic",Methotrexate,D008727,59-05-2,therapeutic,4559404
"Carcinoma, Bronchogenic","pregna-4,17-diene-3,16-dione",C023617,95975-55-6,therapeutic,17475222
"Carcinoma, Bronchogenic",Streptozocin,D013311,18883-66-4,therapeutic,4261143
"Carcinoma, Bronchogenic",strontium chromate,C048629,########,marker/mechanism,16194677
"Carcinoma, Bronchogenic",Vincristine,D014750,,therapeutic,4559404
"Carcinoma, Bronchogenic",Vindesine,D014751,53643-48-4,therapeutic,455587|6282107
