# ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,PubMedIDs
PNEUMONIA (205 compounds),,,,,,
liposomal amphotericin B,C068538,,Pneumonia,MESH:D011014,therapeutic,8901182
m-ACOD protocol,C070074,,Pneumonia,MESH:D011014,marker/mechanism,1713121
Magnesium Silicates,D017633,,Pneumonia,MESH:D011014,marker/mechanism,20368128
Magnetite Nanoparticles,D058185,,Pneumonia,MESH:D011014,marker/mechanism,19428954
Manganese,D008345,7439-96-5,Pneumonia,MESH:D011014,marker/mechanism,19263519
M-BACOD protocol,C035353,,Pneumonia,MESH:D011014,marker/mechanism,1713121
Mechlorethamine,D008466,,Pneumonia,MESH:D011014,marker/mechanism,20883710
Meropenem,D000077731,96036-03-2,Pneumonia,MESH:D011014,therapeutic,15221158|16882111
Methotrexate,D008727,59-05-2,Pneumonia,MESH:D011014,marker/mechanism,10846532|1450620|19449473|2803334|9651097
Methylprednisolone,D008775,83-43-2,Pneumonia,MESH:D011014,marker/mechanism,20831552
Mezlocillin,D008802,51481-65-3,Pneumonia,MESH:D011014,therapeutic,9527154
Micafungin,D000077551,,Pneumonia,MESH:D011014,therapeutic,19148589
MINE protocol,C092704,,Pneumonia,MESH:D011014,marker/mechanism,19787462
Minocycline,D008911,10118-90-8,Pneumonia,MESH:D011014,therapeutic,11600379
Moxifloxacin,D000077266,,Pneumonia,MESH:D011014,therapeutic,19680025|20731847
Mustard Gas,D009151,505-60-2,Pneumonia,MESH:D011014,marker/mechanism,19482056|34390737
N-7-(2-(nitrophenyldithio)ethyl)mitomycin C,C055172,95056-36-3,Pneumonia,MESH:D011014,marker/mechanism,9667686
"Nanotubes, Carbon",D037742,,Pneumonia,MESH:D011014,marker/mechanism,19836432|19857541|20368128|25554681|31265265|32771490
naphthalan,C043836,37229-16-6,Pneumonia,MESH:D011014,therapeutic,19637834
naringin,C005274,10236-47-2,Pneumonia,MESH:D011014,therapeutic,22575871
Niacin,D009525,,Pneumonia,MESH:D011014,therapeutic,20975550
Nickel,D009532,7440-02-0,Pneumonia,MESH:D011014,marker/mechanism,20936915|22198552
nickel monoxide,C028007,1313-99-1,Pneumonia,MESH:D011014,marker/mechanism,19270794|22240982
nickel sulfate,C029938,7786-81-4,Pneumonia,MESH:D011014,marker/mechanism,19679144
Nitric Oxide,D009569,10102-43-9,Pneumonia,MESH:D011014,marker/mechanism,17450216
Nitrogen Dioxide,D009585,10102-44-0,Pneumonia,MESH:D011014,marker/mechanism,22763046
"N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride",C434926,,Pneumonia,MESH:D011014,therapeutic,25221900
Ofloxacin,D015242,82419-36-1,Pneumonia,MESH:D011014,therapeutic,15708235|19189043|19856068
Ovalbumin,D010047,9006-59-1,Pneumonia,MESH:D011014,marker/mechanism,21429049|26882889|29545090|37004399
ovalbumin-alum,C446402,,Pneumonia,MESH:D011014,marker/mechanism,11907180
Oxygen,D010100,7782-44-7,Pneumonia,MESH:D011014,marker/mechanism,23337360|25221900
Ozone,D010126,10028-15-6,Pneumonia,MESH:D011014,marker/mechanism,18007984|18381685|18929643|21543283|22763046|26464147|26647366|26949510|28790194|29247675|33383130|34558223|36675130
Paclitaxel,D017239,,Pneumonia,MESH:D011014,marker/mechanism,12367796|16612156
Paraquat,D010269,4685-14-7,Pneumonia,MESH:D011014,marker/mechanism,12504350|30967525
Particulate Matter,D052638,,Pneumonia,MESH:D011014,marker/mechanism,17450216|18197293|18686106|19272399|19337525|20049117|22634322|24060272|24136897|24376072|26041432|27377055|28917655|29233668|29540651|29787794|30963444|31884678|31941512|33161053|34416640|35795853|36975775|38941663
Pemetrexed,D000068437,,Pneumonia,MESH:D011014,marker/mechanism,21415776
Penicillin G,D010400,61-33-6,Pneumonia,MESH:D011014,therapeutic,4998180|6028697
Penicillins,D010406,,Pneumonia,MESH:D011014,therapeutic,1583528
perfluorodecanoic acid,C036567,335-76-2,Pneumonia,MESH:D011014,marker/mechanism,32717646
perilla seed oil,C058216,68132-21-8,Pneumonia,MESH:D011014,marker/mechanism,10720173
Phenacetin,D010615,62-44-2,Pneumonia,MESH:D011014,marker/mechanism,5660814
Piperacillin,D010878,61477-96-1,Pneumonia,MESH:D011014,therapeutic,6391888
Piroxicam,D010894,36322-90-4,Pneumonia,MESH:D011014,therapeutic,21414392
polyhexamethyleneguanidine,C060540,31961-54-3,Pneumonia,MESH:D011014,marker/mechanism,24769016|25716161|38969276
pranlukast,C047681,,Pneumonia,MESH:D011014,therapeutic,21429049
Prednisolone,D011239,50-24-8,Pneumonia,MESH:D011014,therapeutic,17477857|3997294
Prednisone,D011241,53-03-2,Pneumonia,MESH:D011014,marker/mechanism,4850720
Quartz,D011791,14808-60-7,Pneumonia,MESH:D011014,marker/mechanism,17030555|19836432
quinupristin-dalfopristin,C062940,126602-89-9,Pneumonia,MESH:D011014,therapeutic,11600379
Riluzole,D019782,1744-22-5,Pneumonia,MESH:D011014,marker/mechanism,31029113
Rosiglitazone,D000077154,,Pneumonia,MESH:D011014,therapeutic,24612634
RU.521,C000626046,,Pneumonia,MESH:D011014,therapeutic,39587603
salvianolic acid B,C076944,115939-25-8,Pneumonia,MESH:D011014,therapeutic,35795853
Sildenafil Citrate,D000068677,,Pneumonia,MESH:D011014,therapeutic,21414392
Silicon Dioxide,D012822,7631-86-9,Pneumonia,MESH:D011014,marker/mechanism,21414392|29341224|31284023|32017981|8063194
Silver Compounds,D018030,,Pneumonia,MESH:D011014,marker/mechanism,32367270|34601004
Silver Nitrate,D012835,7761-88-8,Pneumonia,MESH:D011014,marker/mechanism,32367270
Sirolimus,D020123,,Pneumonia,MESH:D011014,marker/mechanism,15219060
Smoke,D012906,,Pneumonia,MESH:D011014,marker/mechanism,21705297
Sodium Selenite,D018038,10102-18-8,Pneumonia,MESH:D011014,therapeutic,28285737
Soot,D053260,,Pneumonia,MESH:D011014,marker/mechanism,25071917
ST2825,C525002,,Pneumonia,MESH:D011014,therapeutic,35795853
Steroids,D013256,,Pneumonia,MESH:D011014,marker/mechanism,16131795
Streptomycin,D013307,57-92-1,Pneumonia,MESH:D011014,therapeutic,4998180|6028697
Styrene,D020058,,Pneumonia,MESH:D011014,marker/mechanism,19428955
Sulfasalazine,D012460,599-79-1,Pneumonia,MESH:D011014,marker/mechanism,2859799|2894766
Sulfur Dioxide,D013458,05-09-7446,Pneumonia,MESH:D011014,marker/mechanism,25115710
Taurine,D013654,107-35-7,Pneumonia,MESH:D011014,marker/mechanism,19362168
Theophylline,D013806,58-55-9,Pneumonia,MESH:D011014,therapeutic,1541177
titanium dioxide,C009495,13463-67-7,Pneumonia,MESH:D011014,marker/mechanism,22956629|27760801|30012374|8063194
Tobacco Smoke Pollution,D014028,,Pneumonia,MESH:D011014,marker/mechanism,18793622|22575871|24612634|24632068|24633890|28790194|28960804|29205062|33660100
Tobramycin,D014031,32986-56-4,Pneumonia,MESH:D011014,therapeutic,256433|3578331
"Trimethoprim, Sulfamethoxazole Drug Combination",D015662,8064-90-2,Pneumonia,MESH:D011014,therapeutic,25170804|9972380
triptolide,C001899,38748-32-2,Pneumonia,MESH:D011014,therapeutic,20348278
troclosene,C011765,2782-57-2,Pneumonia,MESH:D011014,marker/mechanism,35675544
Tungsten,D014414,7440-33-7,Pneumonia,MESH:D011014,marker/mechanism,22198552
Ursodeoxycholic Acid,D014580,128-13-2,Pneumonia,MESH:D011014,marker/mechanism,22942741
valspodar,C070272,121584-18-7,Pneumonia,MESH:D011014,marker/mechanism,12531223
Vanadium,D014639,7440-62-2,Pneumonia,MESH:D011014,marker/mechanism,9710962
Vancomycin,D014640,1404-90-6,Pneumonia,MESH:D011014,therapeutic,15221158|17060545
Vehicle Emissions,D001335,,Pneumonia,MESH:D011014,marker/mechanism,17450216|19560508|20049117|24060272
Venlafaxine Hydrochloride,D000069470,,Pneumonia,MESH:D011014,marker/mechanism,12663337
Vinblastine,D014747,865-21-4,Pneumonia,MESH:D011014,marker/mechanism,54212
Voriconazole,D065819,,Pneumonia,MESH:D011014,therapeutic,19148589
Vorinostat,D000077337,,Pneumonia,MESH:D011014,marker/mechanism,18854394
wogonin,C085514,632-85-9,Pneumonia,MESH:D011014,therapeutic,37004399
yupingfeng,C532967,,Pneumonia,MESH:D011014,therapeutic,37004399
Zinc,D015032,7440-66-6,Pneumonia,MESH:D011014,marker/mechanism,18197293
zinc chromate,C023616,13530-65-9,Pneumonia,MESH:D011014,marker/mechanism,19109987
Zinc Oxide,D015034,1314-13-2,Pneumonia,MESH:D011014,marker/mechanism,22240982|23832296|35247504
Zinc Sulfate,D019287,7733-02-0,Pneumonia,MESH:D011014,marker/mechanism,19679144
