Pathway ID,Pathway Name,k (input hits),K (pathway size),p-value,Compound IDs,FDR (BH),Significant,-log10(FDR)
path:map01064,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",3,67,0.03254884855066076,C00253;C00745;C01416,0.08245708299500726,False,1.0837720328814908
path:map00270,Cysteine and methionine metabolism,3,68,0.03379839383283492,C00051;C00283;C09306,0.08468169004270727,False,1.072210483093607
path:map04935,"Growth hormone synthesis, secretion and action",1,4,0.040915811465738014,C00575,0.09328805014188268,False,1.030173984225849
path:map04914,Progesterone-mediated oocyte maturation,1,4,0.040915811465738014,C00575,0.09328805014188268,False,1.030173984225849
path:map04910,Insulin signaling pathway,1,4,0.040915811465738014,C00575,0.09328805014188268,False,1.030173984225849
path:map04670,Leukocyte transendothelial migration,1,4,0.040915811465738014,C00575,0.09328805014188268,False,1.030173984225849
path:map04114,Oocyte meiosis,1,4,0.040915811465738014,C00575,0.09328805014188268,False,1.030173984225849
path:map04151,PI3K-Akt signaling pathway,1,4,0.040915811465738014,C00533,0.09328805014188268,False,1.030173984225849
path:map07225,Glucocorticoid and mineralocorticoid receptor agonists/antagonists,1,4,0.040915811465738014,C00735,0.09328805014188268,False,1.030173984225849
path:map04659,Th17 cell differentiation,1,4,0.040915811465738014,C00777,0.09328805014188268,False,1.030173984225849
path:map05226,Gastric cancer,1,4,0.040915811465738014,C00777,0.09328805014188268,False,1.030173984225849
path:map00941,Flavonoid biosynthesis,3,74,0.04181022852718535,C00389;C01477;C09789,0.09438348618018079,False,1.0251039854498003
path:map05022,Pathways of neurodegeneration - multiple diseases,2,32,0.04343228797742624,C00533;C01996,0.09708393783189394,False,1.0128526165183234
path:map00996,Biosynthesis of various alkaloids,3,78,0.04763381077207388,C00805;C01575;C06866,0.10087878876353144,False,0.9962001409122999
path:map04626,Plant-pathogen interaction,1,5,0.05088184520967595,C00533,0.10087878876353144,False,0.9962001409122999
path:map05135,Yersinia infection,1,5,0.05088184520967595,C00338,0.10087878876353144,False,0.9962001409122999
path:map01522,Endocrine resistance,1,5,0.05088184520967595,C00575,0.10087878876353144,False,0.9962001409122999
path:map04015,Rap1 signaling pathway,1,5,0.05088184520967595,C00575,0.10087878876353144,False,0.9962001409122999
path:map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",3,77,0.046142276716388556,C00253;C00745;C01416,0.10087878876353144,False,0.9962001409122999
path:map05132,Salmonella infection,1,5,0.05088184520967595,C00338,0.10087878876353144,False,0.9962001409122999
path:map05166,Human T-cell leukemia virus 1 infection,1,5,0.05088184520967595,C00575,0.10087878876353144,False,0.9962001409122999
path:map05020,Prion disease,1,5,0.05088184520967595,C00575,0.10087878876353144,False,0.9962001409122999
path:map04062,Chemokine signaling pathway,1,5,0.05088184520967595,C00575,0.10087878876353144,False,0.9962001409122999
path:map04810,Regulation of actin cytoskeleton,1,5,0.05088184520967595,C01996,0.10087878876353144,False,0.9962001409122999
path:map04218,Cellular senescence,1,5,0.05088184520967595,C07909,0.10087878876353144,False,0.9962001409122999
path:map03320,PPAR signaling pathway,1,5,0.05088184520967595,C02165,0.10087878876353144,False,0.9962001409122999
path:map00361,Chlorocyclohexane and chlorobenzene degradation,3,83,0.05544159198468878,C03664;C06988;C07092,0.10897140493542277,False,0.9626874498391824
path:map01220,Degradation of aromatic compounds,6,263,0.057012492943334124,C00084;C00805;C03664;C07083;C07092;C11422,0.1111012682998306,False,0.954280983251087
path:map04916,Melanogenesis,1,6,0.060744867990770196,C00575,0.11169217662819035,False,0.9519772455611726
path:map02026,Biofilm formation - Escherichia coli,1,6,0.060744867990770196,C00575,0.11169217662819035,False,0.9519772455611726
path:map04912,GnRH signaling pathway,1,6,0.060744867990770196,C00575,0.11169217662819035,False,0.9519772455611726
path:map05223,Non-small cell lung cancer,1,6,0.060744867990770196,C00777,0.11169217662819035,False,0.9519772455611726
path:map04370,VEGF signaling pathway,1,6,0.060744867990770196,C00533,0.11169217662819035,False,0.9519772455611726
path:map04621,NOD-like receptor signaling pathway,1,6,0.060744867990770196,C00533,0.11169217662819035,False,0.9519772455611726
path:map05140,Leishmaniasis,1,6,0.060744867990770196,C00533,0.11169217662819035,False,0.9519772455611726
path:map05415,Diabetic cardiomyopathy,2,39,0.06191958445451263,C00051;C00533,0.11236904575068613,False,0.9493533071931388
path:map00982,Drug metabolism - cytochrome P450,3,87,0.06209868317801076,C01471;C07047;C07888,0.11236904575068613,False,0.9493533071931388
path:map04720,Long-term potentiation,1,7,0.0705059388858311,C00575,0.12271262645778236,False,0.9111107484480983
path:map04014,Ras signaling pathway,1,7,0.0705059388858311,C00575,0.12271262645778236,False,0.9111107484480983
path:map07034,Eicosanoids,1,7,0.0705059388858311,C02165,0.12271262645778236,False,0.9111107484480983
path:map05030,Cocaine addiction,1,7,0.0705059388858311,C00575,0.12271262645778236,False,0.9111107484480983
path:map04361,Axon regeneration,1,7,0.0705059388858311,C00575,0.12271262645778236,False,0.9111107484480983
path:map04740,Olfactory transduction,1,8,0.08016610614133872,C00575,0.13244834927699442,False,0.8779534500081988
path:map04961,Endocrine and other factor-regulated calcium reabsorption,1,8,0.08016610614133872,C00575,0.13244834927699442,False,0.8779534500081988
path:map02025,Biofilm formation - Pseudomonas aeruginosa,1,8,0.08016610614133872,C00575,0.13244834927699442,False,0.8779534500081988
path:map04724,Glutamatergic synapse,1,8,0.08016610614133872,C00575,0.13244834927699442,False,0.8779534500081988
path:map05111,Biofilm formation - Vibrio cholerae,1,8,0.08016610614133872,C00575,0.13244834927699442,False,0.8779534500081988
path:map05143,African trypanosomiasis,1,8,0.08016610614133872,C00533,0.13244834927699442,False,0.8779534500081988
path:map05418,Fluid shear stress and atherosclerosis,1,8,0.08016610614133872,C00533,0.13244834927699442,False,0.8779534500081988
path:map01062,Biosynthesis of terpenoids and steroids,3,98,0.0821926572100912,C06081;C07394;C09871,0.13481961038777548,False,0.8702469322534778
path:map04727,GABAergic synapse,1,9,0.08972640728360026,C00575,0.14206681153236708,False,0.8475073664906423
path:map05152,Tuberculosis,1,9,0.08972640728360026,C00338,0.14206681153236708,False,0.8475073664906423
path:map04730,Long-term depression,1,9,0.08972640728360026,C00533,0.14206681153236708,False,0.8475073664906423
path:map05031,Amphetamine addiction,1,9,0.08972640728360026,C00575,0.14206681153236708,False,0.8475073664906423
path:map05110,Vibrio cholerae infection,1,9,0.08972640728360026,C00575,0.14206681153236708,False,0.8475073664906423
path:map07227,Histamine H2/H3 receptor agonists/antagonists,1,10,0.09918786922779274,C00388,0.15177741063044795,False,0.8187928606445214
path:map00944,Flavone and flavonol biosynthesis,2,51,0.09839672185342654,C00389;C01477,0.15177741063044795,False,0.8187928606445214
path:map00510,N-Glycan biosynthesis,1,10,0.09918786922779274,C06081,0.15177741063044795,False,0.8187928606445214
path:map01061,Biosynthesis of phenylpropanoids,3,106,0.09833817282312163,C00805;C01477;C03582,0.15177741063044795,False,0.8187928606445214
path:map05171,Coronavirus disease - COVID-19,1,10,0.09918786922779274,C00533,0.15177741063044795,False,0.8187928606445214
path:map04020,Calcium signaling pathway,1,11,0.10855150838590293,C00575,0.15967576717410237,False,0.7967609885648174
path:map04936,Alcoholic liver disease,1,11,0.10855150838590293,C00084,0.15967576717410237,False,0.7967609885648174
path:map00195,Photosynthesis,1,11,0.10855150838590293,C00007,0.15967576717410237,False,0.7967609885648174
path:map04919,Thyroid hormone signaling pathway,1,11,0.10855150838590293,C00575,0.15967576717410237,False,0.7967609885648174
path:map04072,Phospholipase D signaling pathway,1,11,0.10855150838590293,C00575,0.15967576717410237,False,0.7967609885648174
path:map04928,"Parathyroid hormone synthesis, secretion and action",1,11,0.10855150838590293,C00575,0.15967576717410237,False,0.7967609885648174
path:map00760,Nicotinate and nicotinamide metabolism,2,55,0.11162668219203378,C00253;C00745,0.16314668935758783,False,0.7874217346761015
path:map00564,Glycerophospholipid metabolism,2,56,0.1150036686978144,C00084;C01996,0.16701169721720818,False,0.777253110535145
