Pathway ID,Pathway Name,k (input hits),K (pathway size),p-value,Compound IDs,FDR (BH),Significant,-log10(FDR)
path:map04721,Synaptic vesicle cycle,3,12,0.00022655527260273073,C00388;C00547;C01996,0.0022458522675401133,True,2.6486188150835934
path:map05208,Chemical carcinogenesis - reactive oxygen species,5,57,0.00031005447485757615,C00007;C00051;C00084;C04623;C07535,0.0029455175111469736,True,2.530838391032929
path:map04971,Gastric acid secretion,3,14,0.00036914518386504605,C00388;C00575;C01996,0.00336660407684922,True,2.472807954995936
path:map04066,HIF-1 signaling pathway,3,15,0.0004579117660149621,C00007;C00338;C00533,0.004015533948131206,True,2.3962566981290134
path:map04081,Hormone signaling,3,19,0.0009458204830759923,C00547;C00575;C00788,0.007986928523752825,True,2.0976202021180024
path:map04981,Folate transport and metabolism,3,20,0.0011042629187527912,C00719;C01937;C01996,0.008392398182521214,True,2.076113918955426
path:map00910,Nitrogen metabolism,3,20,0.0011042629187527912,C00007;C00244;C00533,0.008392398182521214,True,2.076113918955426
path:map04010,MAPK signaling pathway,2,5,0.0010516764899863153,C00338;C00575,0.008392398182521214,True,2.076113918955426
path:map01100,Metabolic pathways,51,3250,0.001145348741255564,C00007;C00051;C00067;C00084;C00212;C00237;C00244;C00245;C00253;C00283;C00338;C00388;C00389;C00413;C00473;C00533;C00547;C00575;C00719;C00735;C00745;C00777;C00788;C00791;C00805;C01416;C01477;C01575;C01594;C01912;C02165;C02166;C02483;C05951;C06081;C06551;C06689;C06866;C06972;C07044;C07083;C07092;C07130;C07204;C07394;C07481;C09306;C09789;C11422;C13624;C13747,0.008423855258266728,True,2.0744891039636078
path:map04918,Thyroid hormone synthesis,3,21,0.001278508474636137,C00007;C00051;C00575,0.009109372881782478,True,2.0405115202120747
path:map00232,Caffeine metabolism,3,22,0.0014691246994300554,C07130;C07481;C13747,0.01015031610515311,True,1.9935204325698799
path:map05142,Chagas disease,2,6,0.0015667313042048347,C00533;C00575,0.01020613535310578,True,1.991138676380315
path:map04926,Relaxin signaling pathway,2,6,0.0015667313042048347,C00533;C00575,0.01020613535310578,True,1.991138676380315
path:map04714,Thermogenesis,3,23,0.0016766565502689282,C00547;C00575;C00745,0.01061882481836988,True,1.9739235438136513
